Runde;Dato;Dag;Tid;Hjemmelag;Resultat;Bortelag;Bane;Turnering;Kampnummer;Spillform
1;07.04.2025;mandag;18.00;Oppegård Gullgirls2;-;Rustad Abildsø SK Grønn;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710001;7 MOT 7
1;07.04.2025;mandag;19.00;Nordstrand Blå;-;Ljan Diamonds;Hallager kunstgr. 7er C;Jenter 10 år 7er avd. 10;03210710002;7 MOT 7
1;08.04.2025;tirsdag;19.00;Lyn Berg Hvit;-;Oppsal lynene;Kringsjå kunstg. 3 7er D;Jenter 10 år 7er avd. 10;03210710005;7 MOT 7
1;09.04.2025;onsdag;19.00;Manglerud Star Grønn;-;KFUM 3;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710004;7 MOT 7
1;11.04.2025;fredag;19.00;KFUM Rød;-;Ski Rosa;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710003;7 MOT 7
2;23.04.2025;onsdag;19.00;Rustad Abildsø SK Grønn;-;Lyn Berg Hvit;Rustad kunstgress 7er B;Jenter 10 år 7er avd. 10;03210710010;7 MOT 7
2;23.04.2025;onsdag;19.00;KFUM 3;-;Oppegård Gullgirls2;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710006;7 MOT 7
2;23.04.2025;onsdag;19.00;Ljan Diamonds;-;KFUM Rød;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710008;7 MOT 7
2;23.04.2025;onsdag;19.00;Ski Rosa;-;Manglerud Star Grønn;Ski kunstgress 2 7er E;Jenter 10 år 7er avd. 10;03210710007;7 MOT 7
2;25.04.2025;fredag;19.00;Oppsal lynene;-;Nordstrand Blå;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710009;7 MOT 7
3;29.04.2025;tirsdag;17.50;KFUM Rød;-;Oppsal lynene;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710013;7 MOT 7
3;01.05.2025;torsdag;16.50;Manglerud Star Grønn;-;Ljan Diamonds;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710014;7 MOT 7
3;01.05.2025;torsdag;17.50;Oppegård Gullgirls2;-;Ski Rosa;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710011;7 MOT 7
3;01.05.2025;torsdag;18.00;Lyn Berg Hvit;-;Nordstrand Blå;Kringsjå kunstg. 3 7er B;Jenter 10 år 7er avd. 10;03210710015;7 MOT 7
3;01.05.2025;torsdag;19.00;Rustad Abildsø SK Grønn;-;KFUM 3;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 10;03210710012;7 MOT 7
4;06.05.2025;tirsdag;17.50;KFUM 3;-;Lyn Berg Hvit;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710020;7 MOT 7
4;06.05.2025;tirsdag;19.00;Ski Rosa;-;Rustad Abildsø SK Grønn;Ski kunstgress 2 7er E;Jenter 10 år 7er avd. 10;03210710016;7 MOT 7
4;07.05.2025;onsdag;19.00;Ljan Diamonds;-;Oppegård Gullgirls2;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710017;7 MOT 7
4;09.05.2025;fredag;19.00;Oppsal lynene;-;Manglerud Star Grønn;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710018;7 MOT 7
4;09.05.2025;fredag;19.00;Nordstrand Blå;-;KFUM Rød;Hallager kunstgr. 7er D;Jenter 10 år 7er avd. 10;03210710019;7 MOT 7
5;12.05.2025;mandag;19.00;Manglerud Star Grønn;-;Nordstrand Blå;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710024;7 MOT 7
5;13.05.2025;tirsdag;18.00;Lyn Berg Hvit;-;KFUM Rød;Kringsjå kunstg. 3 7er B;Jenter 10 år 7er avd. 10;03210710025;7 MOT 7
5;15.05.2025;torsdag;17.50;Oppegård Gullgirls2;-;Oppsal lynene;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710021;7 MOT 7
5;16.05.2025;fredag;19.00;Rustad Abildsø SK Grønn;-;Ljan Diamonds;Abildsø kunstg. 7er A;Jenter 10 år 7er avd. 10;03210710022;7 MOT 7
5;16.05.2025;fredag;19.00;KFUM 3;-;Ski Rosa;Ekeberg 20 7er;Jenter 10 år 7er avd. 10;03210710023;7 MOT 7
6;20.05.2025;tirsdag;19.00;Nordstrand Blå;-;Oppegård Gullgirls2;Hundejordet kg 7er A;Jenter 10 år 7er avd. 10;03210710028;7 MOT 7
6;21.05.2025;onsdag;19.00;Ski Rosa;-;Lyn Berg Hvit;Ski kunstgress 1 7er B;Jenter 10 år 7er avd. 10;03210710030;7 MOT 7
6;21.05.2025;onsdag;19.00;Ljan Diamonds;-;KFUM 3;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710026;7 MOT 7
6;22.05.2025;torsdag;17.50;Oppsal lynene;-;Rustad Abildsø SK Grønn;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710027;7 MOT 7
6;23.05.2025;fredag;19.00;KFUM Rød;-;Manglerud Star Grønn;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710029;7 MOT 7
7;02.06.2025;mandag;19.00;Ski Rosa;-;Ljan Diamonds;Ski kunstgress 2 7er F;Jenter 10 år 7er avd. 10;03210710034;7 MOT 7
7;03.06.2025;tirsdag;17.50;Lyn Berg Hvit;-;Manglerud Star Grønn;Kringsjå kunstg. 3 7er A;Jenter 10 år 7er avd. 10;03210710035;7 MOT 7
7;03.06.2025;tirsdag;19.00;Rustad Abildsø SK Grønn;-;Nordstrand Blå;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 10;03210710032;7 MOT 7
7;04.06.2025;onsdag;18.00;Oppegård Gullgirls2;-;KFUM Rød;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710031;7 MOT 7
7;04.06.2025;onsdag;19.00;KFUM 3;-;Oppsal lynene;Ekeberg  kunstgress 7er A;Jenter 10 år 7er avd. 10;03210710033;7 MOT 7
8;10.06.2025;tirsdag;17.55;Lyn Berg Hvit;-;Ljan Diamonds;Kringsjå kunstg. 3 7er D;Jenter 10 år 7er avd. 10;03210710040;7 MOT 7
8;12.06.2025;torsdag;18.00;KFUM Rød;-;Rustad Abildsø SK Grønn;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710038;7 MOT 7
8;12.06.2025;torsdag;19.00;Nordstrand Blå;-;KFUM 3;Hundejordet kg 7er A;Jenter 10 år 7er avd. 10;03210710037;7 MOT 7
8;13.06.2025;fredag;19.00;Oppsal lynene;-;Ski Rosa;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710036;7 MOT 7
8;13.06.2025;fredag;19.00;Manglerud Star Grønn;-;Oppegård Gullgirls2;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710039;7 MOT 7
