Runde;Dato;Dag;Tid;Hjemmelag;Resultat;Bortelag;Bane;Turnering;Kampnummer;Spillform
9;16.06.2025;mandag;17.50;Oppegård Gullgirls2;-;Lyn Berg Hvit;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710045;7 MOT 7
9;16.06.2025;mandag;19.00;Ljan Diamonds;-;Oppsal lynene;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710044;7 MOT 7
9;16.06.2025;mandag;19.00;Ski Rosa;-;Nordstrand Blå;Ski kunstgress 2 7er E;Jenter 10 år 7er avd. 10;03210710043;7 MOT 7
9;17.06.2025;tirsdag;19.00;Rustad Abildsø SK Grønn;-;Manglerud Star Grønn;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 10;03210710041;7 MOT 7
9;18.06.2025;onsdag;19.00;KFUM 3;-;KFUM Rød;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710042;7 MOT 7
10;18.08.2025;mandag;19.00;Rustad Abildsø SK Grønn;-;Oppegård Gullgirls2;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 10;03210710046;7 MOT 7
10;18.08.2025;mandag;19.00;Ski Rosa;-;KFUM Rød;Ski kunstgress 2 7er C;Jenter 10 år 7er avd. 10;03210710048;7 MOT 7
10;19.08.2025;tirsdag;19.00;KFUM 3;-;Manglerud Star Grønn;Ekeberg 20 7er;Jenter 10 år 7er avd. 10;03210710049;7 MOT 7
10;20.08.2025;onsdag;19.00;Ljan Diamonds;-;Nordstrand Blå;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710047;7 MOT 7
10;21.08.2025;torsdag;17.50;Oppsal lynene;-;Lyn Berg Hvit;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710050;7 MOT 7
11;25.08.2025;mandag;19.00;Oppegård Gullgirls2;-;KFUM 3;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710051;7 MOT 7
11;26.08.2025;tirsdag;19.00;Manglerud Star Grønn;-;Ski Rosa;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710052;7 MOT 7
11;28.08.2025;torsdag;17.45;Lyn Berg Hvit;-;Rustad Abildsø SK Grønn;Kringsjå kunstg. 3 7er C;Jenter 10 år 7er avd. 10;03210710055;7 MOT 7
11;28.08.2025;torsdag;18.00;Nordstrand Blå;-;Oppsal lynene;Hallager kunstgr. 7er C;Jenter 10 år 7er avd. 10;03210710054;7 MOT 7
11;29.08.2025;fredag;19.00;KFUM Rød;-;Ljan Diamonds;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710053;7 MOT 7
12;01.09.2025;mandag;19.00;Nordstrand Blå;-;Lyn Berg Hvit;Nordstrand kunstgress 2 9er 7er A;Jenter 10 år 7er avd. 10;03210710060;7 MOT 7
12;01.09.2025;mandag;19.00;KFUM 3;-;Rustad Abildsø SK Grønn;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710057;7 MOT 7
12;01.09.2025;mandag;19.00;Ski Rosa;-;Oppegård Gullgirls2;Ski kunstgress 2 7er E;Jenter 10 år 7er avd. 10;03210710056;7 MOT 7
12;03.09.2025;onsdag;19.00;Ljan Diamonds;-;Manglerud Star Grønn;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710059;7 MOT 7
12;04.09.2025;torsdag;19.00;Oppsal lynene;-;KFUM Rød;Trasop kunstgress 3 - 7er;Jenter 10 år 7er avd. 10;03210710058;7 MOT 7
13;08.09.2025;mandag;19.00;Rustad Abildsø SK Grønn;-;Ski Rosa;Rustad kunstgress 7er A ;Jenter 10 år 7er avd. 10;03210710061;7 MOT 7
13;09.09.2025;tirsdag;18.00;Oppegård Gullgirls2;-;Ljan Diamonds;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710062;7 MOT 7
13;11.09.2025;torsdag;17.50;Lyn Berg Hvit;-;KFUM 3;Kringsjå kunstg. 3 7er D;Jenter 10 år 7er avd. 10;03210710065;7 MOT 7
13;12.09.2025;fredag;19.00;Manglerud Star Grønn;-;Oppsal lynene;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710063;7 MOT 7
13;13.09.2025;lørdag;13.00;KFUM Rød;-;Nordstrand Blå;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710064;7 MOT 7
14;15.09.2025;mandag;19.00;Ski Rosa;-;KFUM 3;Ski kunstgress 2 7er E;Jenter 10 år 7er avd. 10;03210710068;7 MOT 7
14;17.09.2025;onsdag;18.30;KFUM Rød;-;Lyn Berg Hvit;Ekeberg 17 7er;Jenter 10 år 7er avd. 10;03210710070;7 MOT 7
14;17.09.2025;onsdag;19.00;Nordstrand Blå;-;Manglerud Star Grønn;Hundejordet kg 7er A;Jenter 10 år 7er avd. 10;03210710069;7 MOT 7
14;17.09.2025;onsdag;19.00;Ljan Diamonds;-;Rustad Abildsø SK Grønn;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710067;7 MOT 7
14;19.09.2025;fredag;19.00;Oppsal lynene;-;Oppegård Gullgirls2;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710066;7 MOT 7
15;22.09.2025;mandag;19.00;Rustad Abildsø SK Grønn;-;Oppsal lynene;Rustad kunstgress 7er A ;Jenter 10 år 7er avd. 10;03210710072;7 MOT 7
15;24.09.2025;onsdag;18.00;Oppegård Gullgirls2;-;Nordstrand Blå;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710073;7 MOT 7
15;24.09.2025;onsdag;19.00;KFUM 3;-;Ljan Diamonds;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710071;7 MOT 7
15;25.09.2025;torsdag;18.00;Lyn Berg Hvit;-;Ski Rosa;Kringsjå kunstg. 3 7er B;Jenter 10 år 7er avd. 10;03210710075;7 MOT 7
15;26.09.2025;fredag;19.00;Manglerud Star Grønn;-;KFUM Rød;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710074;7 MOT 7
16;08.10.2025;onsdag;19.00;Ljan Diamonds;-;Ski Rosa;Hundejordet kg 7er B;Jenter 10 år 7er avd. 10;03210710079;7 MOT 7
16;09.10.2025;torsdag;19.00;Manglerud Star Grønn;-;Lyn Berg Hvit;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710080;7 MOT 7
16;10.10.2025;fredag;19.00;Nordstrand Blå;-;Rustad Abildsø SK Grønn;Hallager kunstgr. 7er D;Jenter 10 år 7er avd. 10;03210710077;7 MOT 7
16;10.10.2025;fredag;19.00;Oppsal lynene;-;KFUM 3;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710078;7 MOT 7
16;11.10.2025;lørdag;11.50;KFUM Rød;-;Oppegård Gullgirls2;Ekeberg 19 7er ;Jenter 10 år 7er avd. 10;03210710076;7 MOT 7
17;13.10.2025;mandag;19.00;Ljan Diamonds;-;Lyn Berg Hvit;Hundejordet kg 7er A;Jenter 10 år 7er avd. 10;03210710085;7 MOT 7
17;13.10.2025;mandag;19.00;Oppegård Gullgirls2;-;Manglerud Star Grønn;Østli skole 7er kunstgress;Jenter 10 år 7er avd. 10;03210710084;7 MOT 7
17;17.10.2025;fredag;19.00;Rustad Abildsø SK Grønn;-;KFUM Rød;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 10;03210710083;7 MOT 7
17;17.10.2025;fredag;19.00;Ski Rosa;-;Oppsal lynene;Ski kunstgress 2 7er D;Jenter 10 år 7er avd. 10;03210710081;7 MOT 7
17;18.10.2025;lørdag;16.30;KFUM 3;-;Nordstrand Blå;Ekeberg  kunstgress 7er A;Jenter 10 år 7er avd. 10;03210710082;7 MOT 7
18;20.10.2025;mandag;19.00;Nordstrand Blå;-;Ski Rosa;Hundejordet kg 7er A;Jenter 10 år 7er avd. 10;03210710088;7 MOT 7
18;22.10.2025;onsdag;19.00;Manglerud Star Grønn;-;Rustad Abildsø SK Grønn;Manglerud kunstgress 7er;Jenter 10 år 7er avd. 10;03210710086;7 MOT 7
18;23.10.2025;torsdag;17.45;Lyn Berg Hvit;-;Oppegård Gullgirls2;Kringsjå kunstg. 3 7er D;Jenter 10 år 7er avd. 10;03210710090;7 MOT 7
18;23.10.2025;torsdag;19.00;KFUM Rød;-;KFUM 3;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 10;03210710087;7 MOT 7
18;24.10.2025;fredag;19.00;Oppsal lynene;-;Ljan Diamonds;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 10;03210710089;7 MOT 7
